,radius,thickness,mass,restitution,lateralFriction,spinningFriction,rollingFriction,count,upSideSurface amount,downSideSurface amount,sideSurface amount
1,0.1,0.05,0.1,0.5,0.5,0.0005,0.002,1000,414,414,172
2,0.1,0.060000000000000005,0.1,0.5,0.5,0.0005,0.002,1000,397,374,229
3,0.1,0.07,0.1,0.5,0.5,0.0005,0.002,1000,381,359,260
4,0.1,0.08,0.1,0.5,0.5,0.0005,0.002,1000,323,379,298
5,0.1,0.09,0.1,0.5,0.5,0.0005,0.002,1000,336,334,330
6,0.1,0.1,0.1,0.5,0.5,0.0005,0.002,1000,276,274,450
7,0.1,0.11,0.1,0.5,0.5,0.0005,0.002,1000,265,263,472
8,0.1,0.12000000000000001,0.1,0.5,0.5,0.0005,0.002,1000,245,232,523
9,0.1,0.13,0.1,0.5,0.5,0.0005,0.002,1000,215,203,582
10,0.1,0.14,0.1,0.5,0.5,0.0005,0.002,1000,209,185,606
