,radius,thickness,mass,restitution,lateralFriction,spinningFriction,rollingFriction,starPosition,starVelocity,side
1,0.133,0.1,0.1,0.5,0.5,0.0005,0.002,"[0.0, 0.0, 5.04]","([0.06, -0.01, -0.0], [1.34, 4.41, -1.84])",DownSide
2,0.133,0.1,0.1,0.5,0.5,0.0005,0.002,"[0.0, 0.0, 4.35]","([-0.0, -0.0, -0.0], [0.0, -0.0, 0.0])",UpSide
3,0.133,0.1,0.1,0.5,0.5,0.0005,0.002,"[0.0, 0.0, 4.86]","([-0.02, -0.04, -0.0], [3.22, -1.71, -1.33])",DownSide
4,0.133,0.1,0.1,0.5,0.5,0.0005,0.002,"[0.0, 0.0, 5.04]","([-0.01, 0.04, -0.01], [-3.95, -1.25, 1.62])",UpSide
5,0.133,0.1,0.1,0.5,0.5,0.0005,0.002,"[0.0, 0.0, 4.53]","([-0.0, -0.0, -0.0], [0.0, -0.0, -0.0])",UpSide
6,0.133,0.1,0.1,0.5,0.5,0.0005,0.002,"[0.0, 0.0, 5.72]","([0.0, 0.0, 0.0], [-0.0, 0.0, -0.0])",SideSurface
7,0.133,0.1,0.1,0.5,0.5,0.0005,0.002,"[0.0, 0.0, 4.54]","([0.0, 0.0, -0.0], [-0.0, 0.0, -0.0])",DownSide
8,0.133,0.1,0.1,0.5,0.5,0.0005,0.002,"[0.0, 0.0, 4.42]","([-0.86, -2.03, -0.01], [15.24, -6.56, 0.0])",SideSurface
9,0.133,0.1,0.1,0.5,0.5,0.0005,0.002,"[0.0, 0.0, 5.7]","([-2.07, 1.08, 0.01], [-8.1, -15.53, -0.01])",SideSurface
10,0.133,0.1,0.1,0.5,0.5,0.0005,0.002,"[0.0, 0.0, 4.61]","([-0.03, -0.03, 0.01], [0.99, -3.97, -1.59])",DownSide
